Olympiad_Participation,Scholarship,Fav_sub,Projects,Grasp_pow,Time_sprt,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
Yes,Yes,Mathematics,Yes,5,1,No,No,No,Maybe,3,Academics
Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,5,1,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,5,1,No,No,No,Maybe,3,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,No,2,Academics
Yes,Yes,Mathematics,Yes,6,2,No,No,No,No,4,Academics
Yes,Yes,Science,Yes,3,5,No,No,No,No,2,Academics
Yes,Yes,Mathematics,No,5,2,No,No,No,Maybe,3,Academics
Yes,Yes,Science,Yes,3,2,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,6,4,No,No,No,No,2,Academics
Yes,Yes,Mathematics,No,3,1,No,No,No,No,2,Academics
Yes,Yes,Mathematics,No,3,4,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,6,2,No,No,No,Maybe,1,Academics
Yes,Yes,Any language,Yes,2,2,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,5,1,No,No,No,No,2,Academics
Yes,Yes,Mathematics,Yes,5,2,No,No,No,No,1,Academics
Yes,Yes,Any language,Yes,5,3,No,No,No,No,2,Academics
Yes,Yes,Any language,Yes,6,2,No,No,No,No,1,Academics
Yes,Yes,Mathematics,No,3,1,No,No,No,No,3,Academics
Yes,Yes,Mathematics,No,5,1,No,No,No,No,3,Academics
Yes,Yes,Any language,No,2,2,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,6,2,No,No,No,No,1,Academics
Yes,Yes,Any language,Yes,6,2,No,No,No,No,1,Academics
Yes,Yes,Mathematics,No,5,3,No,No,No,No,1,Academics
Yes,Yes,Science,No,5,3,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,6,3,No,No,No,No,1,Academics
Yes,Yes,Any language,Yes,3,2,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,5,4,No,No,No,No,6,Academics
Yes,Yes,History/Geography,No,5,1,No,No,No,No,1,Academics
Yes,Yes,Any language,No,5,3,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,2,4,No,No,No,Maybe,3,Academics
Yes,Yes,Science,No,5,2,No,No,No,No,3,Academics
Yes,Yes,Science,Yes,6,2,No,No,No,No,1,Academics
Yes,Yes,Any language,No,5,3,No,No,No,No,2,Academics
Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,5,2,No,No,No,Maybe,2,Academics
Yes,Yes,Science,Yes,5,2,No,No,No,Maybe,1,Academics
Yes,Yes,Mathematics,Yes,3,2,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,No,1,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,5,2,No,No,No,No,1,Academics
Yes,Yes,Mathematics,No,5,2,No,No,No,Maybe,1,Academics
Yes,Yes,Mathematics,Yes,3,2,No,No,No,Maybe,1,Academics
Yes,Yes,Mathematics,Yes,5,3,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,3,1,No,No,No,Maybe,1,Academics
Yes,Yes,Mathematics,No,5,1,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,5,1,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,5,3,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,3,3,No,No,No,Maybe,2,Academics
Yes,Yes,Science,Yes,5,2,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,3,2,No,No,No,Maybe,2,Academics
Yes,Yes,Any language,Yes,2,3,No,No,No,Maybe,2,Academics
Yes,Yes,Any language,Yes,5,2,No,No,No,Maybe,1,Academics
Yes,Yes,Science,Yes,5,2,No,No,No,No,1,Academics
Yes,Yes,Mathematics,Yes,3,1,No,No,No,Maybe,2,Academics
